"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Category","Value"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","626","TLS","Timor-Leste","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","Data are sourced from the NSO and exclude non-merchandise imports, which refer to tax-exempt imports (embassies, exterritorial miltary bases)"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","894","ZMB","Zambia","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","58-63: trade with Malawi and Zimbabwe is excluded"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","070","BIH","Bosnia and Herzegovina","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","Does not include unrecorded trade"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","430","LBR","Liberia","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","1990-00: estimates refer to total imports of partner countries, excluding ships registered for flags of convenience and including significant amounts of unspecified products (Special transactions - SITC 93)."
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","694","SLE","Sierra Leone","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","Data include no estimate for smuggling and unrecorded trade."
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","442","LUX","Luxembourg","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","Prior to 99: included in Belgium-Luxembourg"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","533","ABW","Aruba, the Netherlands with respect to","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","Series is sourced from BOP data including oil refining trade (revised in June 2013 from data that excluded oil refining activities). Prior to 86: data included in Netherlands Antilles figures."
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","558","NIC","Nicaragua","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","Beginning 2000 data include processing zone trade / goods for processing. The revision was made in Apr 2015. The new 2000 value is USD 236 million higher than the previous one."
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","276","DEU","Germany","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACHPH","Pharmaceuticals","-","-","-","-","USM","Million US dollar","Coverage","1980: Germany Fed Rep . 1990: sum of Germany Fed Rep and GDR"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","678","STP","Sao Tomé and Principe","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","Prior to 04: data exclude reexports."
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","894","ZMB","Zambia","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","58-63: trade with Malawi and Zimbabwe is excluded"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","970","","Asia","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","Hong Kong, China's re-exports are included"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","132","CPV","Cabo Verde","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","Re-exports (oil for bunkering) are excluded"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","600","PRY","Paraguay","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","Prior to 1994: electricity exports are excluded.  1994 exports excluding electricity would be USD 817 million."
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","760","SYR","Syrian Arab Republic","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","Beginning 2004: improved coverage of private sector transactions (unspecified products - source: NCB)."
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","478","MRT","Mauritania","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","Prior to 61 trade with other countries of the former French West Africa is excluded (Senegal-Mali-Guinea-Cote d'Ivoire-Niger-Burkina Faso-Benin). Beginning 95: sourced from BOP including petroleum products and FDI imports."
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","702","SGP","Singapore","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","Prior to 2003, data exclude trade with Indonesia."
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","384","CIV","Côte d'Ivoire","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","Data are based on Balance of payments, which include estimates for smuggled goods and informal trade."
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","484","MEX","Mexico","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTIC","Integrated circuits and electronic components","-","-","-","-","USM","Million US dollar","Coverage","Includes processing zones"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","320","GTM","Guatemala","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMTOTTL","Telecommunications equipment","-","-","-","-","USM","Million US dollar","Coverage","Prior to 02: processing zone trade is excluded"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","320","GTM","Guatemala","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MIFU","Fuels","-","-","-","-","USM","Million US dollar","Coverage","Prior to 02: processing zone trade is excluded"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","484","MEX","Mexico","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MACL","Clothing","-","-","-","-","USM","Million US dollar","Coverage","Includes processing zones"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","320","GTM","Guatemala","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","MAMT","Machinery and transport equipment","-","-","-","-","USM","Million US dollar","Coverage","Prior to 02: processing zone trade is excluded"
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","584","MHL","Marshall Islands","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","Data do not include imports for re-exports, government imports and tax-exempted imports"
"Merchandise trade values","ITS_MTV_AX","Merchandise exports by product group – annual","454","MWI","Malawi","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","58-63: trade with Zimbabwe and Zambia is excluded."
"Merchandise trade values","ITS_MTV_MX","Total merchandise exports - monthly","710","ZAF","South Africa","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","-","-","-","-","USM","Million US dollar","Coverage","Prior to January 2010 data exclude trade with Botswana, Lesotho, Namibia and Swaziland."
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","364","IRN","Iran","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","Prior to 1999, annual values refer to years beginning March (Persian calendar). Beginning 99, data refer to Gregorian calendar (year beginning January)."
"Merchandise trade values","ITS_MTV_AM","Merchandise imports by product group – annual","533","ABW","Aruba, the Netherlands with respect to","000","","World","SITC3","Merchandise - SITC Revision 3 (aggregates)","TO","Total merchandise","A","Annual","A","Annual","USM","Million US dollar","Coverage","Series is sourced from BOP data including oil refining trade (revised in June 2013 from data that excluded oil refining activities). Prior to 86: data included in Netherlands Antilles figures."
