Country / Territory,ISO3,Region,CPI score 2021,Rank,Standard error,Number of sources,Lower CI,Upper CI,African Development Bank CPIA,Bertelsmann Foundation Sustainable Governance Index,Bertelsmann Foundation Transformation Index,Economist Intelligence Unit Country Ratings,Freedom House Nations in Transit,Global Insights Country Risk Ratings,IMD World Competitiveness Yearbook,PERC Asia Risk Guide,PRS International Country Risk Guide,Varieties of Democracy Project,World Bank CPIA,World Economic Forum EOS,World Justice Project Rule of Law Index
Denmark,DNK,WE/EU,88,1,1.85,8,84.96,91.04,,97,,90,,83,93,,100,79,,78,87
Finland,FIN,WE/EU,88,1,1.25,8,85.95,90.05,,88,,90,,83,94,,93,77,,91,87
New Zealand,NZL,AP,88,1,1.43,8,85.65,90.35,,97,,90,,83,91,,93,78,,85,83
Norway,NOR,WE/EU,85,4,1.07,7,83.24,86.76,,88,,90,,83,81,,85,78,,,87
Singapore,SGP,AP,85,4,1.16,9,83.09,86.91,,,73,90,,83,87,91,85,78,,91,84
Sweden,SWE,WE/EU,85,4,1.24,8,82.96,87.04,,88,,90,,83,83,,93,78,,78,87
Switzerland,CHE,WE/EU,84,7,1.11,7,82.18,85.82,,88,,90,,83,86,,85,77,,82,
Netherlands,NLD,WE/EU,82,8,1.36,8,79.76,84.24,,70,,90,,83,86,,85,77,,79,82
Luxembourg,LUX,WE/EU,81,9,0.96,8,79.42,82.58,,79,,72,,83,83,,85,77,,83,82
Germany,DEU,WE/EU,80,10,1.76,8,77.10,82.90,,79,,90,,83,80,,85,77,,63,80
United Kingdom,GBR,WE/EU,78,11,1.43,8,75.65,80.35,,79,,90,,71,73,,85,75,,76,80
Hong Kong,HKG,AP,76,12,1.85,8,72.96,79.04,,,,90,,71,84,68,69,72,,83,75
Canada,CAN,AME,74,13,2.30,8,70.22,77.78,,79,,90,,71,70,,76,77,,54,78
Iceland,ISL,WE/EU,74,13,3.70,7,67.91,80.09,,44,,72,,83,82,,76,78,,82,
Ireland,IRL,WE/EU,74,13,0.68,8,72.88,75.12,,70,,72,,71,72,,76,76,,77,78
Estonia,EST,WE/EU,74,13,0.92,10,72.48,75.52,,88,77,72,71,71,70,,67,75,,78,74
Austria,AUT,WE/EU,74,13,0.83,8,72.63,75.37,,79,,72,,71,68,,76,74,,76,77
Australia,AUS,AP,73,18,1.63,9,70.32,75.68,,70,,72,,71,54,86,76,77,,76,77
Belgium,BEL,WE/EU,73,18,1.44,8,70.64,75.36,,79,,72,,71,73,,76,77,,59,77
Japan,JPN,AP,73,18,2.10,9,69.55,76.45,,53,,72,,71,70,80,67,72,,93,80
Uruguay,URY,AME,73,18,0.68,7,71.89,74.11,,,77,72,,71,,,76,75,,72,71
France,FRA,WE/EU,71,22,1.30,8,68.86,73.14,,70,,72,,59,74,,67,75,,77,69
Seychelles,SYC,SSA,70,23,1.34,3,67.79,72.21,,,,72,,71,,,,67,,,
United Arab Emirates,ARE,MENA,69,24,2.90,8,64.22,73.78,,,57,72,,47,83,,64,72,,84,75
Bhutan,BTN,AP,68,25,2.24,4,64.32,71.68,,,69,,,71,,,,71,60,,
Taiwan,TWN,AP,68,25,1.85,8,64.95,71.05,,,77,72,,71,68,56,59,65,,79,
Chile,CHL,AME,67,27,1.33,9,64.81,69.19,,62,77,72,,71,56,,65,75,,62,65
United States of America,USA,AME,67,27,2.21,9,63.37,70.63,,62,,90,,71,69,50,67,72,,54,71
Barbados,BRB,AME,65,29,3.07,4,59.96,70.04,,,,,,71,,,,71,,57,62
Bahamas,BHS,AME,64,30,5.63,3,54.74,73.26,,,,,,59,,,76,,,,56
Qatar,QAT,MENA,63,31,5.01,7,54.76,71.24,,,41,72,,47,84,,59,50,,88,
"Korea, South",KOR,AP,62,32,1.13,10,60.14,63.86,,70,61,55,,59,53,54,67,71,,61,71
Portugal,PRT,WE/EU,62,32,1.84,8,58.97,65.03,,70,,55,,59,47,,67,69,,60,67
Lithuania,LTU,WE/EU,61,34,1.18,10,59.06,62.94,,62,73,55,62,59,53,,50,71,,60,66
Spain,ESP,WE/EU,61,34,2.28,8,57.25,64.75,,70,,55,,47,55,,59,76,,59,71
Israel,ISR,MENA,59,36,2.05,7,55.62,62.38,,62,,55,,59,50,,50,69,,68,
Latvia,LVA,WE/EU,59,36,1.32,10,56.82,61.18,,70,61,55,62,59,53,,41,69,,59,63
Saint Vincent and the Grenadines,VCT,AME,59,36,3.55,3,53.16,64.84,,,,,,59,,,,,52,,65
Cabo Verde,CPV,SSA,58,39,2.97,4,53.12,62.88,,,,,,59,,,,64,60,48,
Costa Rica,CRI,AME,58,39,2.42,7,54.02,61.98,,,69,55,,59,,,41,65,,54,62
Slovenia,SVN,WE/EU,57,41,1.04,10,55.29,58.71,,53,61,55,71,59,48,,56,54,,51,59
Italy,ITA,WE/EU,56,42,1.46,8,53.60,58.40,,62,,55,,59,46,,50,66,,54,60
Poland,POL,WE/EU,56,42,1.22,10,53.99,58.01,,44,57,55,56,59,51,,48,70,,52,64
Saint Lucia,LCA,AME,56,42,4.03,3,49.38,62.62,,,,,,47,,,,,60,,60
Botswana,BWA,SSA,55,45,3.19,8,49.75,60.25,,,57,72,,59,32,,51,72,,40,54
Dominica,DMA,AME,55,45,1.98,3,51.75,58.25,,,,,,59,,,,,52,,54
Fiji,FJI,AP,55,45,5.16,3,46.51,63.49,,,,,,59,,,,62,43,,
Georgia,GEO,ECA,55,45,2.84,6,50.32,59.68,,,45,,50,47,,,,69,,60,58
Czechia,CZE,WE/EU,54,49,1.28,10,51.89,56.11,,44,57,55,62,59,41,,50,62,,45,61
Malta,MLT,WE/EU,54,49,1.73,7,51.15,56.85,,53,,55,,47,,,48,65,,51,59
Mauritius,MUS,SSA,54,49,1.60,6,51.37,56.63,,,49,55,,59,,,,50,,61,50
Grenada,GRD,AME,53,52,3.99,3,46.43,59.57,,,,,,47,,,,,52,,62
Cyprus,CYP,WE/EU,53,52,2.59,8,48.73,57.27,,35,,55,,47,42,,56,68,,60,64
Rwanda,RWA,SSA,53,52,3.59,7,47.10,58.90,49,,37,,,59,,,,49,43,79,57
Saudi Arabia,SAU,MENA,53,52,4.24,7,46.03,59.97,,,33,55,,35,67,,59,50,,76,
