DATE,W202RC1Q027SBEA
1995-10-01,620.619
1996-01-01,645.893
1996-04-01,630.442
1996-07-01,636.805
1996-10-01,633.937
1997-01-01,652.296
1997-04-01,686.528
1997-07-01,676.42
1997-10-01,685.281
1998-01-01,683.932
1998-04-01,660.121
1998-07-01,650.784
1998-10-01,603.335
1999-01-01,674.893
1999-04-01,580.927
1999-07-01,537.146
1999-10-01,519.338
2000-01-01,496.296
2000-04-01,495.82
2000-07-01,513.935
2000-10-01,471.338
2001-01-01,547.537
2001-04-01,560.531
2001-07-01,697.228
2001-10-01,488.811
2002-01-01,738.59
2002-04-01,789.436
2002-07-01,777.836
2002-10-01,848.845
2003-01-01,786.004
2003-04-01,839.9
2003-07-01,891.489
2003-10-01,855.186
2004-01-01,881.783
2004-04-01,910.238
2004-07-01,905.889
2004-10-01,798.435
2005-01-01,773.034
2005-04-01,766.606
2005-07-01,745.792
2005-10-01,814.137
2006-01-01,880.78
2006-04-01,835.562
2006-07-01,798.423
2006-10-01,764.09
2007-01-01,659.211
2007-04-01,703.834
2007-07-01,618.97
2007-10-01,580.18
2008-01-01,554.333
2008-04-01,780.41
2008-07-01,714.176
2008-10-01,723.0
2009-01-01,1020.912
2009-04-01,1220.833
2009-07-01,1228.201
2009-10-01,1331.94
2010-01-01,1426.664
2010-04-01,1500.882
2010-07-01,1602.385
2010-10-01,1560.346
2011-01-01,1448.661
2011-04-01,1526.264
2011-07-01,1581.718
2011-10-01,1667.019
2012-01-01,1801.53
2012-04-01,1838.637
2012-07-01,1707.571
2012-10-01,1801.115
2013-01-01,1469.557
2013-04-01,1307.785
2013-07-01,1490.63
2013-10-01,1352.259
2014-01-01,1371.688
2014-04-01,1543.084
2014-07-01,1638.264
2014-10-01,1638.919
2015-01-01,1632.449
2015-04-01,1587.341
2015-07-01,1528.47
2015-10-01,1388.486
2016-01-01,1534.395
2016-04-01,1415.641
2016-07-01,1412.475
2016-10-01,1477.302
2017-01-01,1575.148
2017-04-01,1640.091
2017-07-01,1695.072
2017-10-01,1653.161
2018-01-01,1801.467
2018-04-01,1804.406
2018-07-01,1864.681
2018-10-01,1954.077
2019-01-01,2085.356
2019-04-01,1986.482
2019-07-01,1998.754
2019-10-01,2009.994
2020-01-01,2201.064
2020-04-01,5070.99
2020-07-01,3570.108
2020-10-01,2846.614
2021-01-01,4658.559
2021-04-01,2734.614
2021-07-01,2431.702
2021-10-01,2042.827
2022-01-01,1415.884
2022-04-01,1373.302
2022-07-01,1366.701
